Que,Intent,I1,I2
Describe Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Describe Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
Describe Distributions Under the Plan,Policy 1,0,1
Describe Enforce Your Rights in Other Important Information,Policy 1,0,1
Describe Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Describe General Claims & Appeals Process in Appendix B,Policy 1,0,1
Describe Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Describe If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
Describe In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Describe In-Service Withdrawals,Policy 1,0,1
Describe Leaves of Absence,Policy 1,0,1
Describe Legal and Compliance Department  in Other Important Information,Policy 1,0,1
Describe No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
Describe Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Describe Other Important Information,Policy 1,0,1
Describe Plan Administrator  in Other Important Information,Policy 1,0,1
Describe Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
Describe Plan Documents Govern  in Other Important Information,Policy 1,0,1
Describe Plan Name and Number in  Other Important Information,Policy 1,0,1
Describe Plan Sponsor  in Other Important Information,Policy 1,0,1
Describe Plan Trustee,Policy 1,0,1
Describe Plan Year  in Other Important Information,Policy 1,0,1
Describe Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Describe Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
Describe Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
Describe Required Distribution,Policy 1,0,1
Describe Sponsors Employer Identification Number in Other Important Information,Policy 1,0,1
Describe State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Describe Suspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
Describe Taxation of Distributions,Policy 1,0,1
Describe Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Describe Top-Heavy Rules  in Other Important Information,Policy 1,0,1
Describe Type of Plan  in Other Important Information,Policy 1,0,1
Describe Voting Rights on Shares in the 1,Policy 1,0,1
Describe Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Describe Your ERISA Rights in Other Important Information,Policy 1,0,1
DescribeParticipating Employers in Other Important Information,Policy 1,0,1
Details about Live well Balance,Policy 2,1,0
Details about Live well Health,Policy 2,1,0
Details about Live well Wealth,Policy 2,1,0
Details about Livewell Balance,Policy 2,1,0
Details about Livewell Health,Policy 2,1,0
Details about Livewell Wealth,Policy 2,1,0
Details needed to access myHR,Policy 2,1,0
Details required to access myHR,Policy 2,1,0
difference in voting and tender offers,Policy 1,0,1
Different types of money transactions  in 1,Policy 1,0,1
Different ways of money transactions  in 1,Policy 1,0,1
Different ways through which I can access myHR,Policy 2,1,0
Different ways to access myHR,Policy 2,1,0
differentiate in voting and tender offers,Policy 1,0,1
Direct Rollover,Policy 1,0,1
Direct Rollover in 401k plan,Policy 1,0,1
Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Discover  Balance Benefits Resources,Policy 2,1,0
Discover  Health Benefits Resources,Policy 2,1,0
Discover  wealth Benefits Resources,Policy 2,1,0
Discover 24/7 Nurseline  details,Policy 2,1,0
Discover Benefits Resources,Policy 2,1,0
Discover Dental plan details,Policy 2,1,0
Discover has specific rules that govern employee transactions in Discover Financial Services stock,Policy 1,0,1
Discover Healthcare FSA details,Policy 2,1,0
Discover medical plan details,Policy 2,1,0
Discover MetLife Dental Plan plan details,Policy 2,1,0
Discover Retiree medical plan details,Policy 2,1,0
Discover Vision Benefits details,Policy 2,1,0
Discover Weight Watchers  details,Policy 2,1,0
Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information in the 1,Policy 1,0,1
Distributions Under the Plan,Policy 1,0,1
Do I have to contribute?,Policy 1,0,1
Do I have to elect special tax treatment on my distribution?,Policy 1,0,1
Does Interest for loan change?,Policy 1,0,1
Does Interest for loan keep changing?,Policy 1,0,1
Does our vesting schedule ever change?,Policy 1,0,1
"During my military service, will my loan interest change?",Policy 1,0,1
Elaborate  If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
Elaborate about  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Elaborate about  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Elaborate about  Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
Elaborate about  Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Elaborate about  Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Elaborate about  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
Elaborate about  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Elaborate about  Final Distribution in Distributions Under the Plan,Policy 1,0,1
Elaborate about  Leaves of Absence,Policy 1,0,1
Elaborate about  Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
Elaborate about  Partial Payments in Distributions Under the Plan,Policy 1,0,1
Elaborate about  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Elaborate about  Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Elaborate about Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
Elaborate about Appendix B,Policy 1,0,1
Elaborate about Assignments  or Pledges  in Other Important Information,Policy 1,0,1
Elaborate about Assistance with Your Questions in Other Important Information,Policy 1,0,1
Elaborate about Beneficiaries,Policy 1,0,1
Elaborate about Beneficiary Designation in Beneficiaries,Policy 1,0,1
Elaborate about Confirmation of Your Elections in Other Important Information,Policy 1,0,1
Elaborate about Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
Elaborate about Distributions Under the Plan,Policy 1,0,1
Elaborate about Enforce Your Rights in Other Important Information,Policy 1,0,1
Elaborate about Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Elaborate about General Claims & Appeals Process in Appendix B,Policy 1,0,1
Elaborate about Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Elaborate about In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Elaborate about In-Service Withdrawals,Policy 1,0,1
Elaborate about Legal and Compliance Department  in Other Important Information,Policy 1,0,1
Elaborate about No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
Elaborate about Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Elaborate about Other Important Information,Policy 1,0,1
Elaborate about Participating Employers in Other Important Information,Policy 1,0,1
Elaborate about Plan Administrator  in Other Important Information,Policy 1,0,1
Elaborate about Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
Elaborate about Plan Documents Govern  in Other Important Information,Policy 1,0,1
Elaborate about Plan Name and Number in  Other Important Information,Policy 1,0,1
Elaborate about Plan Sponsor  in Other Important Information,Policy 1,0,1
Elaborate about Plan Trustee,Policy 1,0,1
Elaborate about Plan Year  in Other Important Information,Policy 1,0,1
Elaborate about Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Elaborate about Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
Elaborate about Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
Elaborate about Required Distribution,Policy 1,0,1
Elaborate about Sponsors Employer Identification Number in Other Important Information,Policy 1,0,1
Elaborate about State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Elaborate about Suspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
Elaborate about Taxation of Distributions,Policy 1,0,1
Elaborate about Top-Heavy Rules in Other Important Information,Policy 1,0,1
Elaborate about Type of Plan  in Other Important Information,Policy 1,0,1
Elaborate about Voting Rights on Shares in the 1,Policy 1,0,1
Elaborate about Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Elaborate about Your ERISA Rights in Other Important Information,Policy 1,0,1
Eligibility for Non exempt employees Long-Term Disability (LTD) Insurance ,Policy 2,1,0
Eligibility Long-Term Disability (LTD) Insurance ,Policy 2,1,0
Eligibility to avail a Loan,Policy 1,0,1
Eligibility to take a Loan,Policy 1,0,1
Eligible expenses in Adoption of a child,Policy 2,1,0
Eligible for the 1 and do not actively make a pre-tax deferral election,Policy 1,0,1
Eligible to make Pre-Tax Catch-Up Contributions to the 1,Policy 1,0,1
Employee death Fixed Contributions,Policy 1,0,1
Employee terminated Fixed Contributions,Policy 1,0,1
Employee termination Automatic payment,Policy 1,0,1
Employee termination Deferring Your Payment,Policy 1,0,1
Employee termination Direct Rollover,Policy 1,0,1
Employee termination Final Distribution,Policy 1,0,1
Employee termination Partial Payments,Policy 1,0,1
Employee total and permanent disability  Fixed Contributions,Policy 1,0,1
Employees  will not be subject to tax on the Net Unrealized Appreciation (NUA),Policy 1,0,1
Employees paid from a non-U.S. payroll (including employees on a dual contract) or who are based outside the U.S. (including expatriates) are not eligible to invest in the Discover Stock Fund,Policy 1,0,1
Employment with the Company is terminated before you become fully vested and you do not return to employment within five years,Policy 1,0,1
Enforce Your Rights in Other Important Information in the 1,Policy 1,0,1
Enroll to Commuter Benefit Program,Policy 2,1,0
Enrollment for Live and Work Well Program,Policy 2,1,0
Exceptions  loan is deemed to be in default ,Policy 1,0,1
Expand HWEE,Policy 2,1,0
Expenses in Adoption of a child,Policy 2,1,0
Eye examination Discover employees,Policy 2,1,0
Eye treatment for Discover employees,Policy 2,1,0
Federal Income State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Federal Income Withholding Taxes in Taxation of Distributions in 401k plan,Policy 1,0,1
Final Distribution in Distributions Under the Plan,Policy 1,0,1
Flex part-time employee can participate in 1 ?,Policy 1,0,1
Flex part-time employees  Tuition Reimbursement,Policy 2,1,0
Florida resident applying for loan,Policy 1,0,1
"For Access Persons, employee amounts invested in the Discover Stock Fund",Policy 1,0,1
For further details on Restrictions on Trading ,Policy 1,0,1
"For getting a primary loan, what should I provide?",Policy 1,0,1
From Where do I get more information on the taxation of my distributions?,Policy 1,0,1
Full form of HWEE,Policy 2,1,0
Full-time and flex part-time employees  Tuition Reimbursement,Policy 2,1,0
Full-time employees  Tuition Reimbursement,Policy 2,1,0
Fund Transfer (Transfer Money From Fund(s) to Fund(s) Transaction under Change Investments),Policy 1,0,1
General Claims & Appeals Process in Appendix B in the 1,Policy 1,0,1
General Purpose Loans repay  within ?,Policy 1,0,1
Giive details on The Payroll Schedule,Policy 2,1,0
Give an example for net unrealized appreciation ,Policy 1,0,1
Give an example for net unrealized appreciation (NUA),Policy 1,0,1
Give an example for NUA,Policy 1,0,1
Give an inroduction about 1,Policy 1,0,1
Give details on  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Give details on  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Give details on  Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
Give details on  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
Give details on  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Give details on  Final Distribution in Distributions Under the Plan,Policy 1,0,1
Give details on  Live and Work Well balance benefit in benefit  resources,Policy 2,1,0
Give details on  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Give details on  Tuition Reimbursement balance benefit in benefit  resources,Policy 2,1,0
"Give details on 24/7 Nurseline & Health
Coaching health benefit in benefit  resources",Policy 2,1,0
Give details on 401(k) wealth benefit in benefit  resources,Policy 2,1,0
Give details on Accidental Death & Dismemberment (AD&D) Insurance wealth benefit in benefit  resources,Policy 2,1,0
Give details on Adoption Assistance balance benefit in benefit  resources,Policy 2,1,0
Give details on Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
Give details on Appendix B,Policy 1,0,1
Give details on Assignments  or Pledges  in Other Important Information,Policy 1,0,1
Give details on Assistance with Your Questions in Other Important Information,Policy 1,0,1
Give details on Basic Life Insurance wealth benefit in benefit  resources,Policy 2,1,0
Give details on Beneficiaries,Policy 1,0,1
Give details on Beneficiary Designation in Beneficiaries,Policy 1,0,1
Give details on Business Travel Accident Insurance wealth benefit in benefit  resources,Policy 2,1,0
Give details on C.A.R.E. Program balance benefit in benefit  resources,Policy 2,1,0
Give details on Child Care Discounts balance benefit in benefit  resources,Policy 2,1,0
Give details on Confirmation of Your Elections in Other Important Information,Policy 1,0,1
Give details on Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Give details on dental health benefit in benefit  resources,Policy 2,1,0
Give details on Dependent Day Care FSA balance benefit in benefit  resources,Policy 2,1,0
Give details on Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Give details on Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
Give details on Distributions Under the Plan,Policy 1,0,1
"Give details on Employee Stock Purchase
Plan (ESPP) wealth benefit in benefit  resources",Policy 2,1,0
Give details on Enforce Your Rights in Other Important Information,Policy 1,0,1
Give details on Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Give details on General Claims & Appeals Process in Appendix B,Policy 1,0,1
Give details on Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Give details on Healthcare Flexible Spending Account (FSA) health benefit in benefit  resources,Policy 2,1,0
Give details on If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
Give details on In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Give details on In-Service Withdrawals,Policy 1,0,1
Give details on iRefer Employee Referral Program balance benefit in benefit  resources,Policy 2,1,0
Give details on Leaves of Absence,Policy 1,0,1
Give details on Legal and Compliance Department in Other Important Information,Policy 1,0,1
Give details on Long Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
Give details on Medical health benefit in benefit  resources,Policy 2,1,0
Give details on Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
Give details on No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
Give details on Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Give details on Other Important Information,Policy 1,0,1
Give details on Partial Payments  in Distributions Under the Plan,Policy 1,0,1
Give details on Participating Employers  in Other Important Information,Policy 1,0,1
Give details on Pet Insurance balance benefit in benefit  resources,Policy 2,1,0
Give details on Plan Administrator  in Other Important Information,Policy 1,0,1
Give details on Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
Give details on Plan Documents Govern  in Other Important Information,Policy 1,0,1
Give details on Plan Name and Number in  Other Important Information,Policy 1,0,1
Give details on Plan Sponsor  in Other Important Information,Policy 1,0,1
Give details on Plan Trustee,Policy 1,0,1
Give details on Plan Year  in Other Important Information,Policy 1,0,1
Give details on Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Give details on Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
Give details on Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
Give details on Required Distribution,Policy 1,0,1
Give details on Short Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
Give details on Sponsors Employer Identification Number  in Other Important Information,Policy 1,0,1
Give details on State Withholding Taxes Taxes in Taxation of Distributions,Policy 1,0,1
Give details on Suspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
Give details on Taxation of Distributions,Policy 1,0,1
Give details on Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Give details on The Legal Assistance Plan. balance benefit in benefit  resources,Policy 2,1,0
Give details on The Paid Time Off (PTO),Policy 2,1,0
Give details on TheProrated (PTO) for 1st Year in Paid Time Off (PTO),Policy 2,1,0
Give details on Top-Heavy Rules  in Other Important Information,Policy 1,0,1
Give details on Type of Plan  in Other Important Information,Policy 1,0,1
Give details on vision health benefit in benefit  resources,Policy 2,1,0
Give details on Voting Rights on Shares in the 1,Policy 1,0,1
Give details on Wageworks Commuter Benefits balance benefit in benefit  resources,Policy 2,1,0
Give details on Weight Watchers health benefit in benefit  resources,Policy 2,1,0
Give details on Your ERISA Rights in Other Important Information,Policy 1,0,1
Give details onAuto & Homeowners Insurance Benefit  balance benefit in benefit  resources,Policy 2,1,0
Give details onVoting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Give me details about Benefits Enrollment Process,Policy 2,1,0
Give me the details about   Balance Benefits Resources,Policy 2,1,0
Give me the details about   Health Benefits Resources,Policy 2,1,0
Give me the details about   wealth Benefits Resources,Policy 2,1,0
Give me the details about  Benefits Enrollment Deductions in Default Benefits: Day One,Policy 2,1,0
Give me the details about  Benefits Resources,Policy 2,1,0
Give me the details about  Critical Benefits Enrollment Tips for myHR in Default Benefits: Day One,Policy 2,1,0
Give me the details about  Default Coverage (if you do nothing) in Default Benefits: Day One,Policy 2,1,0
Give me the details about Benefits Enrollment Categories,Policy 2,1,0
Give me the details about Default Benefits: Day One,Policy 2,1,0
Give me the details about Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
"Give the details about the category Can change elections
at any time",Policy 2,1,0
"Give the details about the category elections
at any time",Policy 2,1,0
Give the details about the category no elections required,Policy 2,1,0
"Give the details about the categoryMust enroll within 31 days;
change only with
Qualified Life Event",Policy 2,1,0
Hardship Withdrawal in 401k Plan,Policy 1,0,1
Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Hardship Withdrawal in In-Service Withdrawals in 401k Plan,Policy 1,0,1
Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
Health benefits discover,Policy 2,1,0
Healthcare FSA for Discover employees,Policy 2,1,0
Healthcare FSA for employees,Policy 2,1,0
Hearing Panel in Discretionary Authority of Plan Administrator and Other Plan Fiduciaries,Policy 1,0,1
Highly compensated employees (HCEs) are not eligible to make After-Tax Contributions,Policy 1,0,1
"How  to reserve the right to amend, modify or discontinue
the plans at any time.",Policy 2,1,0
How  will you receive a Benefits Welcome packet from myHR,Policy 2,1,0
How about a general loan?,Policy 1,0,1
How about loans?,Policy 1,0,1
how about the maximum loan amount,Policy 1,0,1
How about the maximum loan amount?,Policy 1,0,1
How all can I access myHR?,Policy 2,1,0
how are you not entitled to a distribution of your Plan accounts when you are absent from work due to the following:,Policy 1,0,1
How can I access myHR?,Policy 2,1,0
How can I adjust my contributions?,Policy 1,0,1
How can I be qualify for the special tax treatment on NUA?,Policy 1,0,1
How can I change my contribution?,Policy 1,0,1
How can I contact myHR?,Policy 2,1,0
How can I contact myHR?,Policy 1,0,1
How can I determine if the special tax treatment on NUA benefits me?,Policy 1,0,1
How can I get a general purpose loan?,Policy 1,0,1
How can I get a primary residence loan?,Policy 1,0,1
How can I increase my contributions?,Policy 1,0,1
How can I qualify for a loan?,Policy 1,0,1
How can I request a general purpose loan?,Policy 1,0,1
How can I request a primary residence loan?,Policy 1,0,1
How do I  do  Benefits Enrollment Deductions in Default Benefits: Day One,Policy 2,1,0
How do I  do  Critical Benefits Enrollment Tips for myHRin Default Benefits: Day One,Policy 2,1,0
How do I  do  Default Coverage (if you do nothing) in Default Benefits: Day One,Policy 2,1,0
How do I  do  Health Benefits Resources,Policy 2,1,0
How do I  do  wealth Benefits Resources,Policy 2,1,0
How do I  do Balance Benefits Resources,Policy 2,1,0
How do I  do Benefits Enrollment Categories,Policy 2,1,0
How do I  do Benefits Enrollment Process,Policy 2,1,0
How do I  do Benefits Resources,Policy 2,1,0
How do I  do Default Benefits: Day One,Policy 2,1,0
How do I  do Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
how do i apply for a 401k loan,Policy 1,0,1
How do I apply for a 401K Loan?,Policy 1,0,1
how do i become 100% vested with the company contributions,Policy 1,0,1
how do i become eligible to start 401k,Policy 1,0,1
How do I change my contribution amount?,Policy 1,0,1
How do I change my distribution amount?,Policy 1,0,1
how do i contribute on an  after tax basis,Policy 1,0,1
How do I contribute on an after tax basis,Policy 1,0,1
How do I get a 401k statement?,Policy 1,0,1
how do i get a l oan,Policy 1,0,1
how do i know if i am vested,Policy 1,0,1
How do I know if I m eligible for 401k?,Policy 1,0,1
How do i make repayment to my loan if I don't get regular paycheck?,Policy 1,0,1
how do i pay back a loan from my 401k,Policy 1,0,1
How do I pay back a loan from my 401K?,Policy 1,0,1
how do i payoff a loan i have taken out of my 401k,Policy 1,0,1
how do i payoff a loan i have taken out on my 401k,Policy 1,0,1
How do I payoff a loan I have taken out on my 401k?,Policy 1,0,1
How do I repay my loan if I am on an international payroll?,Policy 1,0,1
How do I roll from a previous account?,Policy 1,0,1
How do I roll funds into my 401 from another company?,Policy 1,0,1
How do I roll over my 401K if I leave the company?,Policy 1,0,1
How do I rollover my account?,Policy 1,0,1
How do I sign up for 401k?,Policy 1,0,1
How do I take money out of my account?,Policy 1,0,1
How do I take out a loan?,Policy 1,0,1
How does a loan work?,Policy 1,0,1
How does a Plan distribution qualify as a lump sum distribution?,Policy 1,0,1
How does it provides the difference in voting and tender offers,Policy 1,0,1
how does nonhardship withdrawal work,Policy 1,0,1
How does post-distribution decreases in the value of distributed stock be taxed?,Policy 1,0,1
How does post-distribution increases in the value of distributed stock be taxed?,Policy 1,0,1
How does repayment work if I work outside of the U.S.?,Policy 1,0,1
How does the special tax rule on net unrealized appreciation function?,Policy 1,0,1
How does the special tax rule on net unrealized appreciation work?,Policy 1,0,1
How does the special tax rule on NUA function?,Policy 1,0,1
How does the special tax rule on NUA work?,Policy 1,0,1
How does vesting work exactly?,Policy 1,0,1
How does vesting work if there is a gap in my employment?,Policy 1,0,1
How does vesting work?,Policy 1,0,1
how inconsistency is handled in caution,Policy 2,1,0
how is an interest rate determined,Policy 1,0,1
How is Company Contribution made?,Policy 1,0,1
How is Employee Timekeeping done?,Policy 2,1,0
How is interest rate set?,Policy 1,0,1
How is maximum loan amount is determined?,Policy 1,0,1
How is my Plan distribution reported to the IRS?,Policy 1,0,1
How is the maximum loan determined?,Policy 1,0,1
How long do I have to be employed at Discover to be vested?,Policy 1,0,1
How long do I have to pay back a loan on my 401k?,Policy 1,0,1
How long does it take to get a loan?,Policy 1,0,1
How many Business days needed to get access to myHR?,Policy 2,1,0
How many Business days required to get access to myHR?,Policy 2,1,0
"How many days needed to enroll through the myHR website from the date noted on the benefits worksheet from your
welcome packet",Policy 2,1,0
How many days needed to get access to myHR?,Policy 2,1,0
How many days required to get access to myHR?,Policy 2,1,0
How many times can I change my contributions?,Policy 1,0,1
How many ways of seggregating  Benefits Enrollment Categories,Policy 2,1,0
How many years of service before you are vested?,Policy 1,0,1
how money is withdrawn in Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
How much  is a loan processing fee?,Policy 1,0,1
How much can I contribute?,Policy 1,0,1
How much can I take for a loan?,Policy 1,0,1
How much does the company contribute if I contribute x%?,Policy 1,0,1
How much is the company contribution?,Policy 1,0,1
How Much loan Can I Borrow?,Policy 1,0,1
How much of  1 account entitled to receive when employment ends?,Policy 1,0,1
How much should I contribute?,Policy 1,0,1
How often can I change my contribution rate?,Policy 1,0,1
How often can I change my contributions?,Policy 1,0,1
How often can I update or change my contributions?,Policy 1,0,1
How often can I updated or change my contributions?,Policy 1,0,1
How old do I have to be to take advantage of catch up contributions?,Policy 1,0,1
How online access is done in  Adoption Assistance balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Child Care Discounts balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  dental health benefit in benefit  resources,Policy 2,1,0
How online access is done in  Dependent Day Care FSA balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Healthcare Flexible Spending Account (FSA) health benefit in benefit  resources,Policy 2,1,0
How online access is done in  iRefer Employee Referral Program balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Live and Work Well balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Medical health benefit in benefit  resources,Policy 2,1,0
How online access is done in  Pet Insurance balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  The Legal Assistance Plan.balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Tuition Reimbursement balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  vision health benefit in benefit  resources,Policy 2,1,0
How online access is done in  Wageworks Commuter Benefits balance benefit in benefit  resources,Policy 2,1,0
How online access is done in  Weight Watchers health benefit in benefit  resources,Policy 2,1,0
"How online access is done in 24/7 Nurseline & Health
Coaching health benefit in benefit  resources",Policy 2,1,0
How online access is done in 401(k) wealth benefit in benefit  resources,Policy 2,1,0
How online access is done in Accidental Death & Dismemberment (AD&D) Insurance wealth benefit in benefit  resources,Policy 2,1,0
How online access is done in Auto & Homeowners Insurance balance  benefit in benefit  resources,Policy 2,1,0
How online access is done in Basic Life Insurance wealth benefit in benefit  resources,Policy 2,1,0
How online access is done in Business Travel Accident Insurance wealth benefit in benefit  resources,Policy 2,1,0
How online access is done in C.A.R.E. Program balance benefit in benefit  resources,Policy 2,1,0
How online access is done in Long Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
How online access is done in Short Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
"How online access is done inEmployee Stock Purchase
Plan (ESPP) wealth benefit in benefit  resources",Policy 2,1,0
how review is done for Special Tax Notice ,Policy 1,0,1
How should I get a general loan?,Policy 1,0,1
How should I get a primary loan?,Policy 1,0,1
How should I repay a loan?,Policy 1,0,1
How should loan repayment be arranged if I am on an international payroll?,Policy 1,0,1
How should repayment be handled if I don't receive regular paychecks?,Policy 1,0,1
how to  Enroll through the myHR website ,Policy 2,1,0
How to  update  State and/or Local tax withholding ?,Policy 2,1,0
How to Access Live and Work ?,Policy 2,1,0
How to apply for a loan?,Policy 1,0,1
How to apply for a loan?,Policy 1,0,1
How to apply General Purpose Loans?,Policy 1,0,1
How to apply Primary Residence Loans?,Policy 1,0,1
How to be eligible for a Company Match?,Policy 1,0,1
How to become 100% vested in any Company Contributions?,Policy 1,0,1
How to choose to invest 1 assets?,Policy 1,0,1
how to consult the tax advisor after  age 59 in Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
How to contact By Phone  myHR Service Center,Policy 1,0,1
How to contact myHR?,Policy 2,1,0
how to continue after receiving packets in Benefits Enrollment Process,Policy 2,1,0
How to create an account to access myHR?,Policy 2,1,0
how to determine a max loan amount,Policy 1,0,1
how to determine if a loan is default,Policy 1,0,1
how to determine if a loan is in default,Policy 1,0,1
How to determine if a loan is in default?,Policy 1,0,1
How to do Password creation myHR?,Policy 2,1,0
How to do User ID creation myHR?,Policy 2,1,0
how to get a payoff amount,Policy 1,0,1
How to get access to myHR?,Policy 2,1,0
How to get Online access to myHR,Policy 2,1,0
how to know about   Balance Benefits Resources,Policy 2,1,0
how to know about   Health Benefits Resources,Policy 2,1,0
how to know about   wealth Benefits Resources,Policy 2,1,0
how to know about  Benefits Enrollment Deductions in Default Benefits: Day One,Policy 2,1,0
how to know about  Benefits Resources,Policy 2,1,0
how to know about  Critical Benefits Enrollment Tips for myHR in Default Benefits: Day One,Policy 2,1,0
how to know about  Default Coverage (if you do nothing) in Default Benefits: Day One,Policy 2,1,0
how to know about Benefits Enrollment Categories,Policy 2,1,0
how to know about Default Benefits: Day One,Policy 2,1,0
how to know about Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
How to make a make a Rollover Contribution?,Policy 1,0,1
How to make Dividend Payment Election?,Policy 1,0,1
How to reach out to myHR?,Policy 2,1,0
How to Repay a Loan ?,Policy 1,0,1
How to repay the loan I took?,Policy 1,0,1
How to request a money transaction?,Policy 1,0,1
"How to request an in-service withdrawal in In-Service Withdrawals
",Policy 1,0,1
